,nta_code,MONTH,count
0,BK09,1,15295
1,BK09,2,14992
2,BK09,3,15345
3,BK09,4,16811
4,BK09,5,20431
5,BK09,6,20616
6,BK17,1,1295
7,BK17,2,1500
8,BK17,3,1884
9,BK17,4,1922
10,BK17,5,2483
11,BK17,6,2742
12,BK19,1,573
13,BK19,2,596
14,BK19,3,679
15,BK19,4,673
16,BK19,5,913
17,BK19,6,1000
18,BK21,1,446
19,BK21,2,475
20,BK21,3,631
21,BK21,4,693
22,BK21,5,1260
23,BK21,6,1659
24,BK25,1,1841
25,BK25,2,2905
26,BK25,3,3467
27,BK25,4,2565
28,BK25,5,3302
29,BK25,6,3413
30,BK26,1,366
31,BK26,2,493
32,BK26,3,596
33,BK26,4,660
34,BK26,5,850
35,BK26,6,883
36,BK27,1,405
37,BK27,2,543
38,BK27,3,591
39,BK27,4,619
40,BK27,5,692
41,BK27,6,709
42,BK28,1,1197
43,BK28,2,1501
44,BK28,3,1650
45,BK28,4,1740
46,BK28,5,2123
47,BK28,6,2245
48,BK29,1,933
49,BK29,2,1229
50,BK29,3,1417
51,BK29,4,1310
52,BK29,5,1650
53,BK29,6,1870
54,BK30,1,1068
55,BK30,2,1215
56,BK30,3,1290
57,BK30,4,1606
58,BK30,5,2086
59,BK30,6,2060
60,BK31,1,4264
61,BK31,2,4960
62,BK31,3,5489
63,BK31,4,6066
64,BK31,5,7562
65,BK31,6,7586
66,BK32,1,3967
67,BK32,2,4627
68,BK32,3,4773
69,BK32,4,5217
70,BK32,5,7427
71,BK32,6,7383
72,BK33,1,11264
73,BK33,2,10773
74,BK33,3,11330
75,BK33,4,12287
76,BK33,5,15855
77,BK33,6,16144
78,BK34,1,1162
79,BK34,2,1413
80,BK34,3,1489
81,BK34,4,1544
82,BK34,5,1960
83,BK34,6,2056
84,BK35,1,7996
85,BK35,2,8308
86,BK35,3,8626
87,BK35,4,9430
88,BK35,5,11769
89,BK35,6,13007
90,BK37,1,28600
91,BK37,2,29234
92,BK37,3,30770
93,BK37,4,31523
94,BK37,5,37711
